reference,objet_marche,budget,date_publication,maitre_ouvrage_nom,maitre_ouvrage_adresse,maitre_ouvrage_telephone,maitre_ouvrage_fax,delai_execution_total,delai_execution_phase1,delai_execution_phase2,documents_administratif,documents_technique,documents_financier,conditions_participation,chef_mission_diplome,chef_mission_experience,chef_mission_competences,expert_exploitation_diplome,expert_exploitation_experience,expert_exploitation_competences,expert_maintenance_diplome,expert_maintenance_experience,expert_maintenance_competences,note_technique,note_financiere,note_minimale,ponderation_technique,ponderation_financiere,mode_soumission_electronique,support_portail
AO-2025-1431,Services de sécurité et gardiennage,22 816 257 DH,2025-07-20,Office National de l'Électricité et de l'Eau Potable,"54, rue de Michel, Casablanca",0594731262,0608874912,328 jours,51 jours,277 jours,Attestation fiscale; Caution provisoire; Registre de commerce; Attestation CNSS; Certificat de qualification et classification,Note technique détaillée; Attestations de formation; Planning d'exécution,Attestation bancaire; Chiffre d'affaires des 3 dernières années; Acte d'engagement; Bilan des 3 dernières années,Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH,Master en management,10 ans,Gestion de projet; Analyse technique; Audit technique; Normes ISO,Ingénieur d'État,11 ans,Normes ISO; Analyse technique; Audit technique,Doctorat,11 ans,Gestion de projet; Formation; Expertise sectorielle; Contrôle qualité,75%,25%,60%,75%,25%,True,www.marchespublics.gov.ma
AO-2025-3680,Fourniture de mobilier de bureau,44 145 299 DH,2025-08-04,Agence Nationale de la Conservation Foncière,"594, boulevard de Leclercq, Marrakech",0695868240,+33 4 49 64 46 70,118 jours,46 jours,72 jours,Caution provisoire; Attestation fiscale; Attestation CNSS; Registre de commerce,CV des intervenants; Références similaires; Attestations de formation; Note technique détaillée,Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif; Bordereau des prix unitaires; Bilan des 3 dernières années,Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Être en règle avec les obligations fiscales,Doctorat,12 ans,Gestion de projet; Analyse technique; Contrôle qualité,Master en management,15 ans,Planification; Normes ISO; Management d'équipe; Formation,Master en management,5 ans,Analyse technique; Formation; Planification,69%,31%,60%,69%,31%,True,www.marchespublics.gov.ma
AO-2025-3368,Étude technique pour l'aménagement urbain,18 303 483 DH,2025-07-17,Ministère de l'Éducation,"avenue Morvan, Casablanca",+33 2 85 48 49 33,01 41 99 13 96,239 jours,79 jours,160 jours,Certificat de qualification et classification; Attestation CNSS; Attestation fiscale; Procuration (si applicable),Planning d'exécution; Références similaires; CV des intervenants,Bilan des 3 dernières années; Devis quantitatif et estimatif; Bordereau des prix unitaires,Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum,Ingénieur d'État,19 ans,Gestion de projet; Audit technique; Contrôle qualité; Management d'équipe; Analyse technique,Diplôme d'ingénieur,19 ans,Expertise sectorielle; Audit technique; Planification; Management d'équipe,Master spécialisé,19 ans,Normes ISO; Contrôle qualité; Management d'équipe; Formation,80%,20%,60%,80%,20%,True,www.marchespublics.gov.ma
AO-2025-1251,Étude technique pour l'aménagement urbain,19 666 855 DH,2025-08-04,Ministère de l'Éducation,"34, boulevard Lucie Blondel, Tanger",02 48 16 55 43,0352892275,315 jours,119 jours,196 jours,Certificat de qualification et classification; Attestation fiscale; Caution provisoire; Registre de commerce; Attestation CNSS,CV des intervenants; Certificats de conformité; Références similaires,Acte d'engagement; Bordereau des prix unitaires; Attestation bancaire; Chiffre d'affaires des 3 dernières années,Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales; Fournir une caution provisoire de 2% du montant estimé,Doctorat,15 ans,Analyse technique; Management d'équipe; Audit technique,Ingénieur d'État,6 ans,Planification; Formation; Audit technique; Normes ISO; Gestion de projet,Ingénieur d'État,9 ans,Audit technique; Analyse technique; Management d'équipe; Expertise sectorielle,61%,39%,60%,61%,39%,True,www.marchespublics.gov.ma
AO-2025-8774,Services de sécurité et gardiennage,27 965 292 DH,2025-07-17,Ministère de l'Intérieur,"chemin Dorothée Dupré, Beni Mellal",+33 4 78 32 12 12,02 30 67 08 52,151 jours,51 jours,100 jours,Attestation fiscale; Caution provisoire; Procuration (si applicable),Note technique détaillée; CV des intervenants; Planning d'exécution; Certificats de conformité; Références similaires,Devis quantitatif et estimatif; Bordereau des prix unitaires; Attestation bancaire; Bilan des 3 dernières années,Disposer d'un personnel qualifié; Être inscrit au registre de commerce; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales; Fournir une caution provisoire de 2% du montant estimé,MBA,20 ans,Gestion de projet; Formation; Management d'équipe,Doctorat,20 ans,Analyse technique; Audit technique; Gestion de projet; Management d'équipe; Planification,Doctorat,6 ans,Management d'équipe; Normes ISO; Audit technique; Gestion de projet; Expertise sectorielle,67%,33%,60%,67%,33%,True,www.marchespublics.gov.ma
AO-2025-1010,Services de sécurité et gardiennage,14 969 238 DH,2025-08-11,Caisse Nationale de Sécurité Sociale,"972, avenue Poulain, Tétouan",04 38 47 53 59,0516300019,245 jours,41 jours,204 jours,Registre de commerce; Attestation CNSS; Attestation fiscale; Caution provisoire; Certificat de qualification et classification,Références similaires; Note technique détaillée; Planning d'exécution,Chiffre d'affaires des 3 dernières années; Attestation bancaire; Acte d'engagement; Bordereau des prix unitaires,Être inscrit au registre de commerce; Disposer d'un personnel qualifié; Être en règle avec les obligations fiscales,Doctorat,10 ans,Analyse technique; Gestion de projet; Formation,MBA,11 ans,Planification; Management d'équipe; Analyse technique; Audit technique,MBA,8 ans,Audit technique; Management d'équipe; Contrôle qualité,61%,39%,60%,61%,39%,True,www.marchespublics.gov.ma
AO-2025-9836,Travaux de rénovation de bâtiments,37 916 662 DH,2025-07-16,Ministère de l'Intérieur,"5, avenue Georges Grégoire, Kenitra",0240723934,+33 3 71 18 68 10,167 jours,81 jours,86 jours,Caution provisoire; Registre de commerce; Procuration (si applicable); Attestation fiscale,Certificats de conformité; Attestations de formation; Références similaires; Planning d'exécution; Note technique détaillée,Acte d'engagement; Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif; Attestation bancaire,Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Être inscrit au registre de commerce,Ingénieur d'État,20 ans,Formation; Contrôle qualité; Management d'équipe,MBA,7 ans,Contrôle qualité; Planification; Gestion de projet,MBA,13 ans,Analyse technique; Expertise sectorielle; Planification,71%,29%,60%,71%,29%,True,www.marchespublics.gov.ma
AO-2025-3267,Fourniture de véhicules administratifs,47 036 216 DH,2025-07-16,Ministère de l'Éducation,"boulevard Olivie Devaux, Oujda",+33 5 82 27 45 68,+33 (0)3 58 64 38 82,61 jours,30 jours,31 jours,Caution provisoire; Registre de commerce; Certificat de qualification et classification,Certificats de conformité; Planning d'exécution; Références similaires; Note technique détaillée,Chiffre d'affaires des 3 dernières années; Acte d'engagement; Attestation bancaire,Être en règle avec les obligations fiscales; Être inscrit au registre de commerce; Justifier d'une expérience de 5 ans minimum,MBA,10 ans,Analyse technique; Audit technique; Contrôle qualité,Master spécialisé,10 ans,Analyse technique; Normes ISO; Expertise sectorielle,Diplôme d'ingénieur,7 ans,Expertise sectorielle; Gestion de projet; Planification; Normes ISO,68%,32%,60%,68%,32%,True,www.marchespublics.gov.ma
AO-2025-1595,Travaux de rénovation de bâtiments,37 985 079 DH,2025-07-30,Caisse Nationale de Sécurité Sociale,"26, rue Lucas, Casablanca",+33 4 90 40 49 66,03 87 39 22 31,151 jours,64 jours,87 jours,Registre de commerce; Caution provisoire; Certificat de qualification et classification; Procuration (si applicable),CV des intervenants; Note technique détaillée; Certificats de conformité; Références similaires,Attestation bancaire; Acte d'engagement; Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années,Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH; Être inscrit au registre de commerce,Master en management,7 ans,Formation; Planification; Gestion de projet; Contrôle qualité,Doctorat,15 ans,Management d'équipe; Contrôle qualité; Planification,Ingénieur d'État,16 ans,Analyse technique; Gestion de projet; Formation; Audit technique,66%,34%,60%,66%,34%,True,www.marchespublics.gov.ma
AO-2025-8322,Fourniture de véhicules administratifs,36 084 139 DH,2025-07-19,Ministère de la Santé,"65, avenue Carpentier, Oujda",+33 (0)5 67 23 47 52,+33 4 30 87 10 27,190 jours,87 jours,103 jours,Caution provisoire; Attestation fiscale; Certificat de qualification et classification; Registre de commerce; Procuration (si applicable),Certificats de conformité; Attestations de formation; CV des intervenants; Références similaires; Note technique détaillée,Acte d'engagement; Devis quantitatif et estimatif; Attestation bancaire,Être en règle avec les obligations fiscales; Fournir une caution provisoire de 2% du montant estimé; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum,MBA,15 ans,Management d'équipe; Audit technique; Contrôle qualité; Gestion de projet,Master en management,10 ans,Audit technique; Expertise sectorielle; Analyse technique; Management d'équipe,Master en management,14 ans,Contrôle qualité; Analyse technique; Audit technique,63%,37%,60%,63%,37%,True,www.marchespublics.gov.ma
AO-2025-7457,Prestation de services de nettoyage,28 960 165 DH,2025-08-01,Ministère de la Santé,"16, rue Élise Guilbert, Casablanca",+33 (0)5 57 11 47 27,02 47 69 87 87,96 jours,23 jours,73 jours,Caution provisoire; Procuration (si applicable); Attestation CNSS; Attestation fiscale,Planning d'exécution; Attestations de formation; Références similaires; Certificats de conformité,Attestation bancaire; Bordereau des prix unitaires; Devis quantitatif et estimatif; Acte d'engagement,Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié; Être inscrit au registre de commerce; Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé,Master en management,20 ans,Planification; Expertise sectorielle; Contrôle qualité; Analyse technique,Ingénieur d'État,17 ans,Gestion de projet; Contrôle qualité; Audit technique,Master spécialisé,7 ans,Planification; Analyse technique; Formation; Audit technique; Gestion de projet,77%,23%,60%,77%,23%,True,www.marchespublics.gov.ma
AO-2025-4584,Fourniture de mobilier de bureau,512 895 DH,2025-07-17,Ministère de l'Intérieur,"15, rue de Barthelemy, Mohammedia",+33 (0)3 44 43 78 54,+33 1 73 12 46 93,350 jours,47 jours,303 jours,Attestation CNSS; Registre de commerce; Procuration (si applicable); Caution provisoire; Attestation fiscale,Certificats de conformité; Attestations de formation; Références similaires; Note technique détaillée; CV des intervenants,Bilan des 3 dernières années; Devis quantitatif et estimatif; Acte d'engagement; Attestation bancaire,Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié,MBA,11 ans,Audit technique; Management d'équipe; Normes ISO,Master spécialisé,14 ans,Management d'équipe; Planification; Audit technique,Diplôme d'ingénieur,11 ans,Analyse technique; Audit technique; Expertise sectorielle; Contrôle qualité; Planification,73%,27%,60%,73%,27%,True,www.marchespublics.gov.ma
AO-2025-1348,Étude technique pour l'aménagement urbain,42 458 392 DH,2025-08-02,Agence Nationale de la Conservation Foncière,"68, avenue Mathilde Weber, Agadir",+33 (0)4 92 29 65 68,+33 2 33 64 85 85,106 jours,44 jours,62 jours,Caution provisoire; Registre de commerce; Attestation fiscale; Procuration (si applicable),Attestations de formation; Planning d'exécution; CV des intervenants; Certificats de conformité; Références similaires,Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années; Bordereau des prix unitaires; Attestation bancaire,Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Être inscrit au registre de commerce,Doctorat,15 ans,Formation; Management d'équipe; Analyse technique,Master spécialisé,8 ans,Analyse technique; Gestion de projet; Planification; Formation,Diplôme d'ingénieur,19 ans,Expertise sectorielle; Contrôle qualité; Analyse technique; Planification,73%,27%,60%,73%,27%,True,www.marchespublics.gov.ma
AO-2025-8505,Étude technique pour l'aménagement urbain,3 996 722 DH,2025-08-04,Ministère de la Santé,"5, chemin Le Roux, Marrakech",05 32 86 21 21,02 14 50 55 10,292 jours,93 jours,199 jours,Attestation fiscale; Registre de commerce; Attestation CNSS; Procuration (si applicable),Attestations de formation; Planning d'exécution; Références similaires,Acte d'engagement; Bordereau des prix unitaires; Attestation bancaire,Être en règle avec les obligations fiscales; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce,Master en management,17 ans,Contrôle qualité; Formation; Management d'équipe,Doctorat,17 ans,Normes ISO; Contrôle qualité; Expertise sectorielle; Gestion de projet,Ingénieur d'État,8 ans,Contrôle qualité; Management d'équipe; Expertise sectorielle; Gestion de projet; Analyse technique,69%,31%,60%,69%,31%,True,www.marchespublics.gov.ma
AO-2025-3971,Fourniture de véhicules administratifs,30 346 830 DH,2025-07-13,Barid Al-Maghrib,"63, avenue Éléonore Antoine, Oujda",02 43 77 25 49,03 54 29 61 66,118 jours,44 jours,74 jours,Caution provisoire; Attestation CNSS; Certificat de qualification et classification; Registre de commerce; Attestation fiscale,Planning d'exécution; CV des intervenants; Références similaires,Acte d'engagement; Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années; Attestation bancaire,Être inscrit au registre de commerce; Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié,Doctorat,13 ans,Gestion de projet; Planification; Analyse technique; Normes ISO; Formation,Master spécialisé,15 ans,Analyse technique; Planification; Gestion de projet; Expertise sectorielle; Formation,Master spécialisé,16 ans,Normes ISO; Expertise sectorielle; Analyse technique,64%,36%,60%,64%,36%,True,www.marchespublics.gov.ma
